,token,digit,letter (except 'e'),space,<,>,=,+,-,*,/,%,(,),[,],",",;,.,e
0,,21,20,-,1,2,3,7,8,9,10,11,12,13,14,15,16,17,18,20
1,le,-,-,-,-,19,5,-,-,-,-,-,-,-,-,-,-,-,-,-
2,gr,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
3,asn,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
4,eq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,le_eq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,gr_eq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,add,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,sub,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,mult,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,div,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,mod,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,l_round,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,r_round,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,l_square,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,r_square,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,comma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,semi_col,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,end,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,not_eq,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,var,20,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20
21,int ,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,-
22,double,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,double,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
24,<invalid>,26,-,-,-,-,-,25,25,-,-,-,-,-,-,-,-,-,-,-
25,<invalid>,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,double,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
var does not include under-scores,"returns current ""token"" if value is '-' (stored as -1 in code, just easier to read here as '-')",,,,,,,,,,,,,,,,,,,
+' and '-' will be delt with in a different phase than lexical analysis,,,,,,,,,,,,,,,,,,,,
